season,week,game_id,home_team,away_team,home_score,away_score,roof,surface,temp,wind,home_total_yards,home_turnovers,home_touchdowns,home_epa_per_play,home_scoring_efficiency,home_completion_pct,away_total_yards,away_turnovers,away_touchdowns,away_epa_per_play,away_scoring_efficiency,away_completion_pct
2007,3,2007_03_ARI_BAL,BAL,ARI,26,23,outdoors,sportturf,75.0,9.0,381.0,1.0,1.0,0.042749,1.4085,0.6829,364.0,1.0,3.0,0.049722,5.4545,0.5854
2007,3,2007_03_SD_GB,GB,SD,31,24,outdoors,grass,73.0,11.0,405.0,0.0,4.0,0.190735,6.6667,0.5957,,,,,,
2007,3,2007_03_IND_HOU,HOU,IND,24,30,closed,grass,,,254.0,2.0,3.0,0.055504,5.6604,0.75,362.0,0.0,3.0,0.194742,5.0847,0.6667
2007,3,2007_03_MIN_KC,KC,MIN,13,10,outdoors,grass,83.0,5.0,251.0,1.0,1.0,-0.075696,1.6393,0.6667,252.0,1.0,1.0,-0.095048,1.5873,0.4118
2007,3,2007_03_BUF_NE,NE,BUF,38,7,outdoors,fieldturf,74.0,10.0,485.0,1.0,5.0,0.20527,7.3529,0.7667,193.0,2.0,1.0,-0.212714,2.0,0.4783
2007,3,2007_03_MIA_NYJ,NYJ,MIA,31,28,outdoors,fieldturf,72.0,8.0,256.0,0.0,4.0,0.258173,6.5574,0.6522,426.0,1.0,3.0,0.287395,4.918,0.6216
2007,3,2007_03_DET_PHI,PHI,DET,56,21,outdoors,grass,76.0,12.0,536.0,2.0,8.0,0.349402,12.6984,0.7241,432.0,3.0,3.0,-0.055325,4.4776,0.5273
2007,3,2007_03_SF_PIT,PIT,SF,37,16,outdoors,dessograss,72.0,6.0,350.0,1.0,3.0,0.23337,5.4545,0.5909,289.0,1.0,2.0,-0.023905,3.3898,0.4595
2007,3,2007_03_STL_TB,TB,STL,24,3,outdoors,grass,86.0,5.0,322.0,1.0,3.0,0.04803,5.4545,0.6087,,,,,,
2007,3,2007_03_JAX_DEN,DEN,JAX,14,23,outdoors,grass,75.0,10.0,265.0,3.0,2.0,-0.135869,4.7619,0.6667,326.0,2.0,2.0,0.044524,2.8571,0.6087
2007,3,2007_03_CLE_OAK,OAK,CLE,26,24,outdoors,grass,67.0,10.0,,,,,,,312.0,2.0,3.0,0.032942,5.2632,0.4737
2007,3,2007_03_CIN_SEA,SEA,CIN,24,21,outdoors,fieldturf,54.0,0.0,340.0,2.0,3.0,0.07115,4.6875,0.6154,412.0,4.0,2.0,0.052019,2.6316,0.6
2007,3,2007_03_CAR_ATL,ATL,CAR,20,27,dome,fieldturf,,,442.0,2.0,2.0,0.050686,3.125,0.6889,313.0,0.0,3.0,0.201482,4.918,0.52
2007,3,2007_03_NYG_WAS,WAS,NYG,17,24,outdoors,grass,82.0,4.0,260.0,1.0,2.0,-0.108033,3.1746,0.4444,315.0,3.0,3.0,0.013979,4.4118,0.5526
2007,3,2007_03_DAL_CHI,CHI,DAL,10,34,outdoors,grass,79.0,0.0,239.0,4.0,2.0,-0.274552,3.3898,0.4167,431.0,1.0,3.0,0.095808,4.7619,0.5789
2007,3,2007_03_TEN_NO,NO,TEN,14,31,dome,fieldturf,,,252.0,5.0,3.0,-0.295549,4.8387,0.6304,284.0,1.0,3.0,-0.000621,5.0,0.6923
2007,4,2007_04_HOU_ATL,ATL,HOU,26,16,dome,fieldturf,,,304.0,0.0,2.0,0.053944,3.2787,0.7419,398.0,2.0,1.0,-0.056252,1.5873,0.6829
2007,4,2007_04_NYJ_BUF,BUF,NYJ,17,14,outdoors,astroplay,70.0,10.0,304.0,2.0,2.0,0.055675,3.4483,0.7333,346.0,2.0,2.0,0.026583,3.3898,0.8
2007,4,2007_04_BAL_CLE,CLE,BAL,27,13,outdoors,grass,77.0,6.0,303.0,1.0,3.0,0.133788,6.25,0.5556,418.0,2.0,1.0,-0.037835,1.3699,0.6415
2007,4,2007_04_STL_DAL,DAL,STL,35,7,outdoors,fieldturf,85.0,0.0,502.0,1.0,6.0,0.156976,8.9552,0.6176,,,,,,
2007,4,2007_04_CHI_DET,DET,CHI,37,27,dome,fieldturf,,,310.0,2.0,4.0,-0.076486,7.2727,0.6667,303.0,3.0,4.0,-0.139476,5.0,0.5862
2007,4,2007_04_OAK_MIA,MIA,OAK,17,35,outdoors,grass,82.0,16.0,278.0,3.0,2.0,0.035566,4.2553,0.5185,,,,,,
2007,4,2007_04_GB_MIN,MIN,GB,16,23,dome,fieldturf,,,382.0,2.0,1.0,-0.042163,1.5385,0.4884,384.0,2.0,2.0,0.073823,3.0303,0.6957
2007,4,2007_04_TB_CAR,CAR,TB,7,20,outdoors,grass,78.0,12.0,236.0,2.0,1.0,-0.225942,1.4925,0.4318,365.0,1.0,2.0,-0.029924,2.9851,0.6
2007,4,2007_04_SEA_SF,SF,SEA,3,23,outdoors,grass,65.0,12.0,184.0,3.0,0.0,-0.414792,0.0,0.3,371.0,1.0,2.0,-0.118121,2.8169,0.6765
2007,4,2007_04_PIT_ARI,ARI,PIT,21,14,closed,grass,,,301.0,2.0,2.0,-0.075666,3.2258,0.5676,282.0,2.0,3.0,-0.149317,4.8387,0.4722
2007,4,2007_04_DEN_IND,IND,DEN,38,20,dome,fieldturf,,,419.0,0.0,5.0,0.317679,7.8125,0.7407,354.0,2.0,2.0,0.135037,3.4483,0.5909
2007,4,2007_04_KC_SD,SD,KC,16,30,outdoors,grass,76.0,8.0,,,,,,,390.0,2.0,2.0,-0.010861,3.3898,0.5484
2007,4,2007_04_PHI_NYG,NYG,PHI,16,3,outdoors,fieldturf,67.0,8.0,212.0,1.0,1.0,-0.176155,1.8519,0.5185,190.0,1.0,1.0,-0.291672,1.5152,0.3488
2007,4,2007_04_NE_CIN,CIN,NE,13,34,outdoors,fieldturf,72.0,8.0,283.0,2.0,1.0,-0.019751,1.9608,0.5833,404.0,1.0,4.0,0.290072,6.0606,0.7812
2007,5,2007_05_MIA_HOU,HOU,MIA,22,19,closed,grass,,,352.0,2.0,1.0,0.057893,1.5625,0.5556,285.0,1.0,1.0,0.07012,1.8182,0.5333
2007,5,2007_05_JAX_KC,KC,JAX,7,17,outdoors,grass,78.0,10.0,271.0,1.0,1.0,-0.090962,1.7857,0.5435,357.0,0.0,2.0,0.080481,3.0303,0.6452
2007,5,2007_05_CLE_NE,NE,CLE,34,17,outdoors,fieldturf,56.0,8.0,412.0,0.0,3.0,0.045688,4.2857,0.5789,353.0,4.0,3.0,-0.133484,4.4776,0.4783
2007,5,2007_05_CAR_NO,NO,CAR,13,16,dome,fieldturf,,,341.0,2.0,1.0,-0.093127,1.3333,0.617,243.0,1.0,1.0,-0.046416,2.0833,0.55
2007,5,2007_05_NYJ_NYG,NYG,NYJ,35,24,outdoors,fieldturf,81.0,10.0,374.0,2.0,5.0,0.038614,7.8125,0.52,277.0,3.0,3.0,-0.088235,4.8387,0.5676
2007,5,2007_05_SEA_PIT,PIT,SEA,21,0,outdoors,dessograss,80.0,2.0,342.0,0.0,3.0,0.096591,4.5455,0.72,144.0,1.0,0.0,-0.220416,0.0,0.4242
2007,5,2007_05_ARI_STL,STL,ARI,31,34,dome,fieldturf,,,,,,,,,383.0,2.0,3.0,-0.003607,4.1096,0.5
2007,5,2007_05_ATL_TEN,TEN,ATL,20,13,outdoors,grass,84.0,5.0,249.0,4.0,2.0,-0.334469,3.0769,0.6061,198.0,3.0,1.0,-0.352571,1.5873,0.439
2007,5,2007_05_DET_WAS,WAS,DET,34,3,outdoors,grass,88.0,8.0,368.0,1.0,3.0,0.109774,4.6154,0.7667,144.0,2.0,1.0,-0.314822,1.8519,0.4706
2007,5,2007_05_TB_IND,IND,TB,33,14,dome,fieldturf,,,400.0,1.0,4.0,0.19111,5.1948,0.7838,177.0,1.0,2.0,-0.018009,5.0,0.75
2007,5,2007_05_SD_DEN,DEN,SD,3,41,outdoors,grass,54.0,0.0,296.0,3.0,1.0,-0.266628,1.7544,0.6216,,,,,,
