config,model,accuracy,log_loss
stats,nb,0.8405797101449275,0.4389464031442963
stats,hc,0.5043478260869565,0.3752502069144577
stats,pc,0.5043478260869565,0.3675716185180541
market,nb,0.563768115942029,0.8402728534573396
market,hc,0.5855072463768116,0.7764260916187167
market,pc,0.5855072463768116,0.7598706223921792
combined,nb,0.8101449275362319,0.5379440494517691
combined,hc,0.5043478260869565,0.3752502069144577
combined,pc,0.47246376811594204,0.34535414619161064
